wrong,refer
bruce,reply
green,reply
birth,sheet
easter,lonely
picked,towers
earth,trips
suite,marsh
refer,dying
spoke,gamma
begun,armed
above,acres
hammer,fought
socks,above
roots,until
quiet,digit
fifth,armor
reply,white
earth,meant
remix,pills
saints,planet
cargo,quilt
ticket,towers
counting,dental
sleeping,threat
barriers,divide
fighter,shorter
breeding,floors
testing,insured
readings,replies
orders,housing
trustees,rolling
further,housing
moving,injury
apple,sleeping
unable,steering
deemed,divided
seller,fighting
number,replied
harbor,thereof
fighting,farmer
trustees,launched
pulling,counters
reached,regions
landing,portions
angels,devices
relax,summer
