fine,mint
sale,tape
told,wild
wit,net
cat,lot
cat,jay
lady,lane
tag,ton
had,vat
tiny,tone
gates,sales
link,lack
sir,sum
fun,den
have,hire
right,digit
game,home
ripe,tips
went,rest
post,cast
tons,ties
kong,tons
line,mice
eat,sad
tires,takes
marie,large
bay,fan
pays,past
eat,wax
will,wide
rats,maps
sends,lands
son,fun
aye,ant
van,bar
bent,want
hat,let
takes,maker
dad,say
cast,fact
cope,pipe
last,test
pay,sky
codes,modem
rare,rise
bull,hill
low,lay
fail,soil
lets,west
keeps,peers
rod,dog
dried,tired
